Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.63E+09	1.15E+09	1.53E+09	1.21E+09	1.25E+09	9.44E+08	1.46E+09	1.02E+09	3.84E+08	2.75E+08	4.22E+08	3.29E+08	2.90E+08	2.49E+08	3.39E+08	2.90E+08	14	12	15	11	-0.228489268	-0.109643455	-0.010912871	-0.104375271
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.39E+07	3.90E+07	1.61E+07	1.10E+08	2.28E+07	4.52E+07	1.55E+07	7.46E+07	1.27E+07	1.85E+07	1.95E+07	3.34E+07	1.29E+07	2.13E+07	1.82E+07	2.27E+07	2	3	1	4	0.201723297	0.427913037	0.073734414	-0.327147424
sp|O14841|OPLA_HUMAN	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.01E+07	1.19E+07	1.31E+07	5357762	1.04E+07	1475023.5	1.34E+07	2335787	1.01E+07		1.31E+07	5357762	1.04E+07		1.34E+07	2335787	1	1	1	1	0.079675515	-0.785818324	0.156566832	-0.990090011
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	"Glutathione S-transferase 3, mitochondrial"		3.02E+07		1.52E+07		3.48E+07		1.23E+07		2.92E+07		1.52E+07		3.27E+07		1.23E+07	0	2	0	1		0.785533866		-0.103836592
sp|O14893|GEMI2_HUMAN	O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	4.58E+07		7.07E+07		3.60E+07		6.84E+07	1.53E+07	4.58E+07		3.50E+07		3.60E+07		3.03E+07	1.53E+07	1	0	3	0	-0.299501844		-0.018123651	
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1		5145074.5				6271054											0	1	0	0		0.49105239		
sp|O14920|IKKB_HUMAN	O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	2.79E+07			1.00E+07	3.57E+07			5989108									2	0	0	1	0.548385903			-0.158845236
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23		2.03E+07		1.80E+07		4.27E+07		3.09E+07		2.03E+07		1.80E+07		4.27E+07		3.09E+07	0	1	0	1		1.284508262		0.985478721
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	4080800.2	3.33E+08		2.51E+08	2939456.2	3.04E+08		2.11E+08	2866009.2	1.33E+08		9.48E+07	3612886.5	1.05E+08		7.06E+07	2	5	0	5	-0.282787976	0.074098759		0.025980877
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8		3.45E+07	1.97E+07	4.55E+07		2.73E+07		3.22E+07		1.96E+07	1.97E+07	2.70E+07		1.54E+07		1.78E+07	0	2	0	2		-0.113934486		-0.260084736
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	1.67E+08	7.10E+07	1.28E+08	9.24E+07	1.10E+08	7.71E+07	1.57E+08	8.65E+07	6.56E+07	3.70E+07	8.37E+07	3.20E+07	4.86E+07	4.26E+07	8.35E+07	3.11E+07	5	3	4	5	-0.31502941	0.217943934	0.459465741	0.036442902
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate		1.06E+07				2.12E+07											0	2	0	0		-0.58485104		
sp|O14966|RAB7L_HUMAN	O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1				6329728													0	0	0	0				
sp|O14972|VP26C_HUMAN	O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C		4901544.5		4132983		3744908.2		2921158		4901544.5		4132983		3744908.2		2921158	0	1	0	1		-0.111466515		-0.293011222
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A		3.04E+07	1.95E+07	2.94E+07		2.29E+07		2.99E+07		1.03E+07	1.03E+07	1.57E+07		1.02E+07		2.38E+07	0	4	0	3		-0.513722717		0.023944287
sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	2.34E+07	2.54E+07	2.44E+07	1.96E+07	1.03E+07	1.09E+07	7590728	1.06E+07	2.34E+07	1.20E+07	2.44E+07	8380375	1.03E+07	6835151.5	7590728	5023559	1	2	1	4	-1.681045627	-0.705756841	-2.584641932	-0.243402737
sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	3.42E+07	3.07E+07	4.73E+07	1.74E+07	3.46E+07	1.78E+07	1.88E+07	918102	1.78E+07	1.32E+07	1.63E+07	7711543	9143733	6939761.5	1.15E+07	2057028.6	5	3	3	1	0.283712887	-0.407612361	0.153768771	-0.38250601
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	2.74E+07	2.32E+08	7.49E+07	1.84E+08	3.22E+07	1.88E+08	7.09E+07	2.10E+08	3.09E+07	7.69E+07	3.30E+07	6.87E+07	2.86E+07	5.97E+07	3.30E+07	7.10E+07	2	4	4	4	0.648143976	-0.06769136	0.080637017	0.452848597
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	Exportin-1	1.69E+08	7.14E+08	1.56E+08	7.90E+08	1.53E+08	6.50E+08	1.28E+08	4.92E+08	4.55E+07	9.21E+07	3.38E+07	1.41E+08	3.46E+07	7.74E+07	2.70E+07	8.33E+07	10	21	8	20	-0.040659525	-0.012893232	-0.322114367	-0.422972457
sp|O14981|BTAF1_HUMAN	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.34E+07		2219192.8		2.23E+07		2395562.5										2	0	1	0	-0.073903849		0.236130788	
sp|O15016|TRI66_HUMAN	O15016	TRI66_HUMAN	TRIM66	Tripartite motif-containing protein 66	7059163				6419482												1	0	0	0	0.131344365			
